"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"gfkk","fdkk","gekk","bfkk","fekk","hgkk","ggjk","cfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","gdkk","hfkk","igkk","egkj","ffkj","cfjj","cfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dekj","cekk","bekk","ffkj","gckk","bgkj","cfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hcjk","hfkk","ffkk","cfkj","cfjj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","gcjk","gckk","hckj","cckk","ggkj","hgkk","fgkj","cfkk",NA,NA,NA,NA,NA,NA
"gfkk","efjk","cekj","dekk","ffkk","gfkj","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fckk","dckj","igkk","gfjk","ffkk","dfjk","dgkj","cfkk",NA,NA,NA,NA,NA,NA
"gfkk","eckk","ggkj","ickk","egkk","cekk","cfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cfkj","bekk","ffkj","fcjk","dckk","igjk","hfkk","ggkj","cgjk",NA,NA,NA,NA,NA
"gfkk","gekk","fekj","dekk","fekk","iekk","cgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","egkk","ifkj","cfkk","gekj","cgkk","cgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fckk","dckk","cfjk","cfkk","dgkj","cgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ccjk","gfkj","hekk","cekk","efkk","ifkk","hfjk","cgjk",NA,NA,NA,NA,NA,NA
"gfkk","gdkk","hekk","hdkk","igkj","ggkk","cgjk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cckk","hckj","gfjk","dgjk","egkk","iekk","gdkk","hekk","hdkk","hfkk",NA,NA,NA,NA
"gfkk","bfkk","ffkj","cfkk","hekk","fdkk","gejk","hfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dfkj","dfjk","fekj","dekk","fekk","egkk","ggjk","hfkk",NA,NA,NA,NA,NA,NA
"gfkk","hgkj","ggkk","dfkk","eckk","igjk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cckj","fgkj","dekk","ffkk","fejk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ifkj","igkk","gfjk","ickk","eckk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hcjk","ecjk","cckj","gcjk","ickk","hfkj","gckj","hfkk",NA,NA,NA,NA,NA,NA
"gfkk","dekk","cfkk","gfkj","hekk","gdkj","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","dekj","cekk","hejk","iekk","ifkk","hdkk","hfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dejk","ifkk","fgjk","cckk","eckk","hgkk","gekk","edkk","hfkk",NA,NA,NA,NA,NA
"gfkk","fckj","dckk","dcjk","cgkk","gfjk","fckk","hckk","eckj","hfkk",NA,NA,NA,NA,NA
"gfkk","bekj","efkk","dfkj","efkj","fckk","eckk","gfkj","ickk","egkk","dgjk","hfkk",NA,NA,NA
"gfkk","jfkk","ifkk","ggkk","hekk","gdkk","hfkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hcjk","ggkj","ickk","eckj","dckk","ifkk","efkk","hekk","gdkj","hfkk",NA,NA,NA,NA
"gfkk","cfkj","efkj","cgkj","dckj","igkk","dcjk","ifkk","iejk","hfkk",NA,NA,NA,NA,NA
"gfkk","efjk","dfkk","cgkk","cejk","hekk","bgjk","hfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","ifkj","hckk","ifkk","ffkk","eekk","gekk","bfkk","edjk","hfkk",NA,NA,NA,NA,NA
"gfkk","hfkj","gckk","hckj","ecjk","eckk","ggkj","fgkk","egkk","efjk","gekk","hekk","hdkk","hfkk",NA
"gfkk","cckj","fckk","gckk","hcjk","cckk","ffkk","hfkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fgkj","dekk","cekk","efkk","ggkj","ffkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","igjk","hfkk","hekk","hfkj","gckj","hckk","ffkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dejk","cgkk","ggkj","cckk","dckj","ffkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cekk","ifkj","hckk","fckk","dcjk","cgkk","gfjk","dfkj","ffkk",NA,NA,NA,NA,NA
"gfkk","fejk","hfkk","egkk","ggjk","hckk","ecjk","gckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fekj","dekk","ffkk","dfkk","eckk","fckj","gckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","iekk","gdkk","hekk","hdkk","igkj","gckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cekj","dekk","fekk","efkk","ifkk","fgjk","gckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cejk","hekk","iekk","ifkk","dfkk","efjk","gckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hekj","cekk","cejk","gekk","dgkk","gfjk","ickk","eckj","gckk",NA,NA,NA,NA,NA
"gfkk","fdkk","hfkk","dfkk","ifkk","egkk","eekk","gckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","fekk","cfkk","eckj","fckk","eckk","gckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cfkj","efkj","cgkj","dckj","igkk","ffjk","dgkj","gckk",NA,NA,NA,NA,NA,NA
"gfkk","cfjk","cfkk","dcjk","ifkk","igkk","dfkj","efkj","fckk","hckk","gckk",NA,NA,NA,NA
"gfkk","gejk","fdkk","gekk","hekk","egkk","dckk","fcjk","eckk","gcjk","gckk",NA,NA,NA,NA
"gfkk","hejk","cfkk","dgkk","cckk","hcjk","ecjk","gckk",NA,NA,NA,NA,NA,NA,NA
"gfkk","gfjk","igkk","ggkj","ickk","hgkj","gckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","iekk","igkk","gfjk","ffkk","bckk","gckk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hfkj","cekk","hejk","dfkk","gfjk","hgkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hekk","iekk","ifkk","hfjk","ickk","hgkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","efkk","fgkj","dekk","fekk","iekk","gdkk","hgkj",NA,NA,NA,NA,NA,NA,NA
"gfkk","cfjk","dfkk","hfkj","gckj","dgkk","eekk","gekk","hgkj",NA,NA,NA,NA,NA,NA
"gfkk","fdkj","gekk","hekk","ifkj","hckk","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fekj","dekk","cekk","hejk","iekk","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","gdkk","hfkk","dfkk","eckk","hckk","dgjk","efkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cejk","fekk","dfkk","dckk","fcjk","eckk","ggkj","efkk",NA,NA,NA,NA,NA,NA
"gfkk","hfjk","dfkk","ffjk","gckk","hcjk","ecjk","eckk","ggjk","efkk",NA,NA,NA,NA,NA
"gfkk","cgkj","efkj","cfkj","dfkk","egkk","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hckj","ecjk","gckk","igkk","fgkj","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cckj","fgkj","hfkk","ggkk","cgjk","efkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ifjk","efkk","cfkk","eckj","cckk","hcjk","ggkj",NA,NA,NA,NA,NA,NA,NA
"gfkk","gdkk","igkj","cgkj","dckj","igkk","gfjk","fckk","eckk","ggkj",NA,NA,NA,NA,NA
"gfkk","cfjk","gfjk","dfkj","ifkk","fgjk","ggkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","gdkk","hekk","ifkj","ggkk","dgkj","efkk","ggkj",NA,NA,NA,NA,NA,NA,NA
"gfkk","hfkj","gckk","hckj","ecjk","hgkk","ggkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bfkk","ffkj","ggkk","gckk","hcjk","ggkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","ffjk","iekk","gdkk","hfkk","bgkj","ggkj",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bfkk","ffkj","fcjk","eckk","ifkj","igkk","egkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cckj","fgkj","dekk","cekk","hejk","egkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","hekk","ifkj","hckk","ggkj","egkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","gekj","cgkk","gfjk","dfkj","ifkk","hdkk","igkj","cgkj","egkk",NA,NA,NA,NA,NA
"gfkk","bekk","ffkj","gckk","hckj","cckk","ggkj","fgkk","egkk",NA,NA,NA,NA,NA,NA
"gfkk","cekj","dekk","fekk","efkk","cgkk","gfkj","egkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","dcjk","ifkk","dfkk","gfjk","ickk","egkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","hgjk","dcjk","dckk","dfkk","ffjk","egkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","bfjk","cekk","efkk","ggkj","fckk","eckk","igjk","egkk",NA,NA,NA,NA,NA,NA
"gfkk","cgkj","efkj","fckk","ggkj","igkk","fgkj","eekk","egkk",NA,NA,NA,NA,NA,NA
"gfkk","fdkk","gekk","dfkk","hfkj","cekk","eekk","egkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","hfkj","cekk","dekk","dgkk","gfjk","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cfjk","gfjk","ffkk","cekk","ifkj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","icjk","eckj","hgkk","ffkk","gckj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","efjk","dfkk","gfjk","ickk","gfkj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fdkk","hekk","ifkj","hckk","ecjk","eckk","igkk",NA,NA,NA,NA,NA,NA,NA
"gfkk","cekj","dekk","fekk","efkk","dfkj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cejk","fekk","gckk","ickk","hfkj","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","cekk","fekk","egkk","ifkk","idkk","igkk",NA,NA,NA,NA,NA,NA,NA,NA
"gfkk","fcjk","eckk","ifkj","cfkk","dgkk","dgjk","fgjk",NA,NA,NA,NA,NA,NA,NA
"gfkk","ifjk","efkk","eekk","cekj","dekk","fgjk",NA,NA,NA,NA,NA,NA,NA,NA
